province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Kalimantan Utara,Jul,253.2,0.0,253.2,0.0,0.0,454.2,0.0,1
Kalimantan Utara,Agu,253.2,0.0,253.2,0.0,0.0,454.2,0.0,1
Kalimantan Utara,Sep,245.1,0.0,245.0,0.0,0.0,454.2,0.0,1
Kalimantan Utara,Okt,253.2,0.0,795.6,0.0,0.0,996.5,0.0,1
Kalimantan Utara,Nov,245.1,0.0,0.0,0.0,0.0,751.5,0.0,1
Kalimantan Utara,Des,253.2,0.0,0.0,0.0,0.0,498.3,0.0,1
Sulawesi Utara,Jan,16.6,0.0,42.9,0.0,0.0,26.4,0.0,1
Sulawesi Utara,Feb,18.4,0.0,18.4,0.0,0.0,26.4,0.0,1
Sulawesi Utara,Mar,16.6,0.0,16.6,0.0,0.0,26.4,0.0,1
Sulawesi Utara,Apr,18.5,0.0,18.5,0.0,0.0,26.4,0.0,1
Sulawesi Utara,Mei,16.6,0.0,16.6,0.0,0.0,26.4,0.0,1
Sulawesi Utara,Jun,17.5,0.0,21.1,0.0,0.0,30.0,0.0,1
Sulawesi Utara,Jul,18.6,0.0,18.6,0.0,0.0,30.0,0.0,1
Sulawesi Utara,Agu,18.6,0.0,18.6,0.0,0.0,30.0,0.0,1
Sulawesi Utara,Sep,16.5,0.0,16.5,0.0,0.0,30.0,0.0,1
Sulawesi Utara,Okt,18.6,0.0,18.6,0.0,0.0,30.0,0.0,1
Sulawesi Utara,Nov,21.5,0.0,22.3,0.0,0.0,30.9,0.0,1
Sulawesi Utara,Des,20.6,0.0,16.4,0.0,0.0,26.7,0.0,1
Sulawesi Tengah,Jan,13.4,6.7,34.7,0.0,0.0,28.0,0.0,1
Sulawesi Tengah,Feb,5.1,0.0,5.1,0.0,0.0,28.0,0.0,1
Sulawesi Tengah,Mar,5.7,0.0,5.7,0.0,0.0,28.0,0.0,1
Sulawesi Tengah,Apr,18.9,0.0,18.9,0.0,0.0,28.0,0.0,1
Sulawesi Tengah,Mei,21.9,0.0,21.9,0.0,0.0,28.0,0.0,1
Sulawesi Tengah,Jun,19.3,0.0,23.3,0.0,0.0,32.0,0.0,1
