province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Jawa Tengah,Nov,29704.4,2584.7,25688.0,0.0,0.0,99353.2,0.0,1
Jawa Tengah,Des,30713.0,2584.7,20594.8,0.0,0.0,91819.7,0.0,1
DI Yogyakarta,Jan,6887.4,151.7,7625.3,0.0,0.0,889.6,0.0,0
DI Yogyakarta,Feb,6443.4,212.4,6395.0,0.0,0.0,1053.6,0.0,0
DI Yogyakarta,Mar,6888.1,546.2,6888.1,0.0,0.0,1599.7,0.0,0
DI Yogyakarta,Apr,6669.4,1092.3,6669.4,0.0,0.0,2692.1,0.0,0
DI Yogyakarta,Mei,6889.8,1183.3,7555.1,0.0,0.0,4540.7,0.0,0
DI Yogyakarta,Jun,6680.1,697.9,14887.0,0.0,0.0,13445.5,0.0,1
DI Yogyakarta,Jul,6895.1,455.1,10138.6,0.0,0.0,17144.1,0.0,1
DI Yogyakarta,Agu,6929.6,849.6,10952.9,0.0,0.0,22017.1,0.0,1
DI Yogyakarta,Sep,6684.9,940.6,6684.9,0.0,0.0,22957.7,0.0,1
DI Yogyakarta,Okt,6887.4,546.2,7174.1,0.0,0.0,23790.5,0.0,1
DI Yogyakarta,Nov,6672.0,303.4,5769.8,0.0,0.0,23191.8,0.0,1
DI Yogyakarta,Des,6894.6,303.4,4623.2,0.0,0.0,21223.8,0.0,1
Jawa Timur,Jan,58653.2,1451.2,68219.5,0.0,0.0,11017.4,0.0,0
Jawa Timur,Feb,54844.5,2031.6,54432.5,0.0,0.0,12637.0,0.0,0
Jawa Timur,Mar,58892.7,5224.2,76492.7,0.0,0.0,35461.2,0.0,0
Jawa Timur,Apr,56827.8,10448.5,56827.8,0.0,0.0,45909.7,0.0,0
Jawa Timur,Mei,58567.8,11319.2,60878.1,0.0,0.0,59539.1,0.0,0
Jawa Timur,Jun,56701.8,6675.4,91283.6,0.0,0.0,100796.4,0.0,1
Jawa Timur,Jul,58973.3,4353.5,66761.3,0.0,0.0,112937.9,0.0,1
Jawa Timur,Agu,58851.6,8126.6,62866.5,0.0,0.0,125079.4,0.0,1
Jawa Timur,Sep,56740.1,8997.3,95934.9,0.0,0.0,173271.5,0.0,1
Jawa Timur,Okt,58570.1,5224.2,68590.1,0.0,0.0,188515.7,0.0,1
Jawa Timur,Nov,56676.4,2902.4,56213.2,0.0,0.0,190954.9,0.0,1
Jawa Timur,Des,58628.2,2902.4,32869.7,0.0,0.0,168098.8,0.0,1
Banten,Jan,7989.4,38.5,11062.0,0.0,0.0,3111.2,0.0,0
Banten,Feb,7471.9,53.9,7415.8,0.0,0.0,3109.0,0.0,0
Banten,Mar,7986.6,138.7,16062.8,0.0,0.0,11323.9,0.0,1
Banten,Apr,7728.9,277.4,7728.9,0.0,0.0,11601.3,0.0,1
Banten,Mei,7986.6,300.5,16673.5,0.0,0.0,20588.7,0.0,1
Banten,Jun,7728.9,177.2,8022.6,0.0,0.0,21059.6,0.0,1
Banten,Jul,7986.8,98.2,21587.4,0.0,0.0,34758.5,0.0,1
Banten,Agu,7986.5,121.9,4758.4,0.0,0.0,31652.2,0.0,1
Banten,Sep,7731.6,96.0,20021.3,0.0,0.0,44037.9,0.0,1
Banten,Okt,7986.7,0.0,18500.0,0.0,0.0,54551.2,0.0,1
Banten,Nov,7728.9,0.0,0.0,0.0,0.0,46822.4,0.0,1
Banten,Des,7995.2,0.0,0.0,0.0,0.0,38827.2,0.0,1
Bali,Jan,2448.8,67.7,2448.8,0.0,0.0,67.7,0.0,0
Bali,Feb,2297.3,94.8,2280.1,0.0,0.0,145.2,0.0,0
Bali,Mar,2449.5,243.7,2624.5,0.0,0.0,564.0,0.0,0
Bali,Apr,2376.9,487.5,3403.2,0.0,0.0,2077.8,0.0,0
Bali,Mei,2451.8,528.1,3726.7,0.0,0.0,3880.8,0.0,1
Bali,Jun,2374.3,311.4,4257.5,0.0,0.0,6075.4,0.0,1
Bali,Jul,2452.6,203.1,3438.9,0.0,0.0,7264.8,0.0,1
Bali,Agu,2464.1,379.1,2632.2,0.0,0.0,7812.1,0.0,1
Bali,Sep,2369.8,408.8,5816.0,0.0,0.0,11667.0,0.0,1
Bali,Okt,2448.3,39.2,409.9,0.0,0.0,9667.7,0.0,1
Bali,Nov,2368.6,135.4,2101.3,0.0,0.0,9535.8,0.0,1
Bali,Des,2451.9,135.4,1558.1,0.0,0.0,8777.4,0.0,1
Nusa Tenggara Barat,Jan,3361.2,202.6,3622.3,0.0,0.0,463.8,0.0,0
Nusa Tenggara Barat,Feb,3134.6,283.7,3111.0,0.0,0.0,724.0,0.0,0
Nusa Tenggara Barat,Mar,3364.7,729.5,4370.2,0.0,0.0,2459.0,0.0,0
Nusa Tenggara Barat,Apr,3314.2,1459.0,4745.1,0.0,0.0,5348.9,0.0,1
Nusa Tenggara Barat,Mei,3371.4,1580.5,5124.5,0.0,0.0,8682.6,0.0,1
Nusa Tenggara Barat,Jun,3242.8,932.1,5814.7,0.0,0.0,12186.6,0.0,1
Nusa Tenggara Barat,Jul,3414.2,537.0,4228.7,0.0,0.0,13538.1,0.0,1
Nusa Tenggara Barat,Agu,3454.8,776.7,2525.9,0.0,0.0,13385.9,0.0,1
Nusa Tenggara Barat,Sep,3244.7,602.5,3921.5,0.0,0.0,14665.2,0.0,1
Nusa Tenggara Barat,Okt,3385.1,328.2,1766.7,0.0,0.0,13375.1,0.0,1
Nusa Tenggara Barat,Nov,3253.8,401.0,2856.0,0.0,0.0,13378.2,0.0,1
Nusa Tenggara Barat,Des,3377.1,405.3,1893.4,0.0,0.0,12299.7,0.0,1
Nusa Tenggara Timur,Jan,296.0,21.1,490.6,0.0,0.0,215.7,0.0,0
Nusa Tenggara Timur,Feb,391.5,29.6,388.6,0.0,0.0,242.3,0.0,0
Nusa Tenggara Timur,Mar,399.9,76.0,519.5,0.0,0.0,437.9,0.0,1
Nusa Tenggara Timur,Apr,287.5,143.8,411.7,0.0,0.0,705.8,0.0,1
Nusa Tenggara Timur,Mei,183.5,91.8,279.0,0.0,0.0,893.0,0.0,1
Nusa Tenggara Timur,Jun,104.5,40.2,144.0,0.0,0.0,972.6,0.0,1
Nusa Tenggara Timur,Jul,261.3,38.6,223.3,0.0,0.0,973.3,0.0,1
Nusa Tenggara Timur,Agu,476.8,89.8,386.9,0.0,0.0,973.2,0.0,1
Nusa Tenggara Timur,Sep,132.6,28.0,141.3,0.0,0.0,1010.0,0.0,1
Nusa Tenggara Timur,Okt,98.7,15.3,35.9,0.0,0.0,962.4,0.0,1
Nusa Tenggara Timur,Nov,81.8,29.4,52.2,0.0,0.0,962.3,0.0,1
Nusa Tenggara Timur,Des,168.8,42.2,94.7,0.0,0.0,930.4,0.0,1
Kalimantan Barat,Jan,1247.3,0.0,2067.4,0.0,0.0,820.0,0.0,0
Kalimantan Barat,Feb,1126.8,0.0,1118.3,0.0,0.0,811.6,0.0,0
Kalimantan Barat,Mar,1247.3,0.0,1471.9,0.0,0.0,1036.2,0.0,0
Kalimantan Barat,Apr,1207.1,0.0,1207.1,0.0,0.0,1036.2,0.0,0
